Дата,Россия,США,Германия,Великобритания,Всего,Россия%,США%,Германия%,Великобритания%,Всего%,Доллар США,Евро,Доллар/Евро,Евро/Доллар
4/26/20,80949,971012,157770,157729,2967570,0.055236438075742064,0.29495159375625263,0.18974302850414856,0.23543989864780243,0.037961038246682725,74.7163,80.2528,0.9310117528609595,1.0741002967224018
4/27/20,87147,994171,158758,162431,3037260,0.05946571136131013,0.301986299774099,0.19093125257819368,0.24245850907100913,0.038852509974531206,74.7163,80.2528,0.9310117528609595,1.0741002967224018
4/28/20,93558,1018837,159912,167152,3112744,0.0638403275332651,0.30947876743834185,0.1923191175391735,0.2495054805316554,0.03981809832156686,74.496,80.7611,0.9224242859495474,1.0840998174398626
4/29/20,99399,1046655,161539,172587,3190206,0.06782599795291709,0.3179286768474031,0.1942758387623227,0.25761822992555766,0.040808989166488646,74.5706,80.7749,0.923190248455894,1.0832003497356868
4/30/20,106498,1076104,163009,177543,3273554,0.07267007847151144,0.3268740137583042,0.19604374300204574,0.26501598263874615,0.041875173490964396,73.6894,80.0488,0.9205559608638731,1.08630006486686
5/1/20,114431,1110297,164077,182270,3360744,0.07808324803821222,0.33726037339681286,0.19732817955172202,0.2720719102164786,0.04299050452771443,72.7263,79.1189,0.9192026178321488,1.0878994256548182
5/2/20,124054,1138126,164967,185491,3440791,0.08464960764244285,0.34571362413176027,0.19839854334311896,0.2768798524055787,0.04401446259055109,72.7263,79.1189,0.9192026178321488,1.0878994256548182
5/3/20,134687,1162592,165664,188465,3517314,0.0919051518253156,0.3531453404162557,0.19923679453705562,0.28131910110796426,0.044993341784555246,72.7263,79.1189,0.9192026178321488,1.0878994256548182
5/4/20,145268,1185972,166152,191843,3594392,0.0991252132378028,0.3602471767087229,0.19982369063840585,0.2863613950274862,0.0459793205166417,72.7263,79.1189,0.9192026178321488,1.0878994256548182
5/5/20,155370,1210458,167007,195527,3674847,0.10601842374616173,0.36768496813119306,0.2008519614717141,0.2918604509184035,0.0470084976993659,72.7263,79.1189,0.9192026178321488,1.0878994256548182
5/6/20,165929,1235561,168162,199358,3764761,0.11322347321733198,0.37531017756018387,0.20224102908863936,0.2975789316779324,0.04815867403654151,72.7263,79.1189,0.9192026178321488,1.0878994256548182
5/7/20,177160,1263296,169430,203125,3853781,0.12088706925963835,0.38373487514665006,0.2037659968273936,0.3032018805218753,0.04929741436102238,73.9719,80.0598,0.9239580913267333,1.0823001707405109
5/8/20,187859,1290069,170588,206174,3944952,0.12818764926646195,0.3918673585965314,0.205158672412155,0.30775308068783813,0.05046367019255738,74.1169,80.0611,0.9257542052257589,1.0802003321779512
5/9/20,198676,1315026,171324,208324,4029875,0.13556874786762196,0.39944821951830656,0.2060438271879619,0.3109623559770543,0.05155000185483428,73.8725,80.0039,0.9233612361397382,1.0829997631053505
5/10/20,209688,1333863,171879,210645,4105071,0.14308290685772773,0.4051700882198124,0.20671130123765322,0.31442688060322677,0.05251190611724343,73.8725,80.0039,0.9233612361397382,1.0829997631053505
5/11/20,221344,1353268,172576,214228,4181946,0.15103650631183896,0.4110644908398006,0.20754955243158993,0.31977517518986,0.05349528808134663,73.8725,80.0039,0.9233612361397382,1.0829997631053505
5/12/20,232243,1375989,173171,217617,4266204,0.1584735585124531,0.41796615133600035,0.20826513271909683,0.3248338886573733,0.054573113089885265,73.8725,80.0039,0.9233612361397382,1.0829997631053505
5/13/20,242271,1396928,174098,220915,4351024,0.16531627430910953,0.42432651703865093,0.20937999478047317,0.32975676768241274,0.05565812718022977,73.4326,79.4394,0.9243851287899958,1.0818001813908267
5/14/20,252245,1424152,174478,223524,4447706,0.1721221426134425,0.4325959948498625,0.20983700403972133,0.333651185928722,0.05689487950612798,73.5819,79.7775,0.9223390053586538,1.0842000546330008
5/15/20,262843,1449346,175233,226041,4544030,0.1793538041624019,0.44024884615663834,0.21074500927849063,0.3374082770463765,0.0581270523101641,73.9298,79.9033,0.9252408849196466,1.080799623426548
5/16/20,272043,1473343,175752,228106,4638236,0.1856315250767656,0.4475381004556262,0.21136918771414792,0.340490674010205,0.05933213174184288,73.2056,79.1279,0.9251553497565335,1.0808995486684079
